"TimeUTC","timestampInMs","requestPath","requestMethod","requestQueryString","responseStatusCode","requestId","requestUserAgent","level","environment","branch","vercelCache","type","function","host","deploymentDomain","deploymentId","durationMs","region","maxMemoryUsed","memorySize","message","projectId","traceId","sessionId","invocationId","instanceId","concurrency"
"2025-10-15 05:31:42",1760506302397,"mcp-with-express-jet.vercel.app/mcp","GET","",-1,"k2sw7-1760506002370-23436f474395","node","error","production","main","","lambda","/","mcp-with-express-jet.vercel.app","mcp-with-express-jet.vercel.app","dpl_224eBF9NQQaiJ6sANjEciu9DbaAg",-1,"iad1",-1,-1,"Vercel Runtime Timeout Error: Task timed out after 300 seconds","prj_GFuSvzkGDMuwbRdbd61vYKz35q7m","","","01K7K5BEYCRDDWKB6797YM1E7Y","",-1
"2025-10-15 05:28:19",1760506099410,"mcp-with-express-jet.vercel.app/mcp","GET","",-1,"bf2vb-1760506099357-02817e93336f","node","info","production","main","","lambda","/","mcp-with-express-jet.vercel.app","mcp-with-express-jet.vercel.app","dpl_224eBF9NQQaiJ6sANjEciu9DbaAg",-1,"iad1",-1,-1,"Received MCP GET request","prj_GFuSvzkGDMuwbRdbd61vYKz35q7m","","","01K7K5EDN7TNAQ0B6HD3FXGSNX","",-1
"2025-10-15 05:28:19",1760506099369,"mcp-with-express-jet.vercel.app/mcp","POST","",-1,"bjrc9-1760506099357-314ff3350cca","node","error","production","main","","lambda","/","mcp-with-express-jet.vercel.app","mcp-with-express-jet.vercel.app","dpl_224eBF9NQQaiJ6sANjEciu9DbaAg",-1,"iad1",-1,-1,"Invalid session or request","prj_GFuSvzkGDMuwbRdbd61vYKz35q7m","","","01K7K5BEYCRDDWKB6797YM1E7Y","",-1
"2025-10-15 05:28:19",1760506099369,"mcp-with-express-jet.vercel.app/mcp","POST","",-1,"bjrc9-1760506099357-314ff3350cca","node","info","production","main","","lambda","/","mcp-with-express-jet.vercel.app","mcp-with-express-jet.vercel.app","dpl_224eBF9NQQaiJ6sANjEciu9DbaAg",-1,"iad1",-1,-1,"Received MCP POST request: { method: 'notifications/initialized', jsonrpc: '2.0' }","prj_GFuSvzkGDMuwbRdbd61vYKz35q7m","","","01K7K5BEYCRDDWKB6797YM1E7Y","",-1
"2025-10-15 05:28:19",1760506099367,"mcp-with-express-jet.vercel.app/mcp","GET","",400,"bf2vb-1760506099357-02817e93336f","node","warning","production","main","","lambda","/","mcp-with-express-jet.vercel.app","mcp-with-express-jet.vercel.app","dpl_224eBF9NQQaiJ6sANjEciu9DbaAg",14,"iad1",110,2048,"","prj_GFuSvzkGDMuwbRdbd61vYKz35q7m","","","01K7K5EDN7TNAQ0B6HD3FXGSNX","Ew5vRVpLoqh8",1
"2025-10-15 05:28:19",1760506099366,"mcp-with-express-jet.vercel.app/mcp","POST","",400,"bjrc9-1760506099357-314ff3350cca","node","warning","production","main","","lambda","/","mcp-with-express-jet.vercel.app","mcp-with-express-jet.vercel.app","dpl_224eBF9NQQaiJ6sANjEciu9DbaAg",2,"iad1",76,2048,"","prj_GFuSvzkGDMuwbRdbd61vYKz35q7m","","","01K7K5BEYCRDDWKB6797YM1E7Y","uKOrteThvw8w",2
"2025-10-15 05:28:19",1760506099345,"mcp-with-express-jet.vercel.app/mcp","POST","",-1,"q4lx5-1760506099328-f8f060e8af57","node","info","production","main","","lambda","/","mcp-with-express-jet.vercel.app","mcp-with-express-jet.vercel.app","dpl_224eBF9NQQaiJ6sANjEciu9DbaAg",-1,"iad1",-1,-1,"Reusing session: 701a8f46-ae92-4823-9116-fbf30c6de856","prj_GFuSvzkGDMuwbRdbd61vYKz35q7m","","","01K7K5BEYCRDDWKB6797YM1E7Y","",-1
"2025-10-15 05:28:19",1760506099345,"mcp-with-express-jet.vercel.app/mcp","POST","",-1,"q4lx5-1760506099328-f8f060e8af57","node","info","production","main","","lambda","/","mcp-with-express-jet.vercel.app","mcp-with-express-jet.vercel.app","dpl_224eBF9NQQaiJ6sANjEciu9DbaAg",-1,"iad1",-1,-1,"Received MCP POST request: { method: 'notifications/initialized', jsonrpc: '2.0' }","prj_GFuSvzkGDMuwbRdbd61vYKz35q7m","","","01K7K5BEYCRDDWKB6797YM1E7Y","",-1
"2025-10-15 05:28:19",1760506099342,"mcp-with-express-jet.vercel.app/mcp","POST","",202,"q4lx5-1760506099328-f8f060e8af57","node","info","production","main","","lambda","/","mcp-with-express-jet.vercel.app","mcp-with-express-jet.vercel.app","dpl_224eBF9NQQaiJ6sANjEciu9DbaAg",3,"iad1",76,2048,"","prj_GFuSvzkGDMuwbRdbd61vYKz35q7m","","","01K7K5BEYCRDDWKB6797YM1E7Y","uKOrteThvw8w",2
"2025-10-15 05:28:19",1760506099336,"mcp-with-express-jet.vercel.app/mcp","POST","",-1,"wnzlz-1760506099275-2e1a5978bf1d","node","info","production","main","","lambda","/","mcp-with-express-jet.vercel.app","mcp-with-express-jet.vercel.app","dpl_224eBF9NQQaiJ6sANjEciu9DbaAg",-1,"iad1",-1,-1,"Session pre-stored: 6403e3ea-3a5a-4425-979d-8865b9e4e9cc","prj_GFuSvzkGDMuwbRdbd61vYKz35q7m","","","01K7K5EDK0SD9V7RM82ABACWCT","",-1
"2025-10-15 05:28:19",1760506099335,"mcp-with-express-jet.vercel.app/mcp","POST","",-1,"wnzlz-1760506099275-2e1a5978bf1d","node","info","production","main","","lambda","/","mcp-with-express-jet.vercel.app","mcp-with-express-jet.vercel.app","dpl_224eBF9NQQaiJ6sANjEciu9DbaAg",-1,"iad1",-1,-1,"Initializing new session","prj_GFuSvzkGDMuwbRdbd61vYKz35q7m","","","01K7K5EDK0SD9V7RM82ABACWCT","",-1
"2025-10-15 05:28:19",1760506099333,"mcp-with-express-jet.vercel.app/mcp","POST","",-1,"wnzlz-1760506099275-2e1a5978bf1d","node","info","production","main","","lambda","/","mcp-with-express-jet.vercel.app","mcp-with-express-jet.vercel.app","dpl_224eBF9NQQaiJ6sANjEciu9DbaAg",-1,"iad1",-1,-1,"Received MCP POST request: {
  method: 'initialize',
  params: {
    protocolVersion: '2025-06-18',
    capabilities: {},
    clientInfo: { name: 'Weather MCP Server (A)', version: '1.0.0' }
  },
  jsonrpc: '2.0',
  id: 0
}","prj_GFuSvzkGDMuwbRdbd61vYKz35q7m","","","01K7K5EDK0SD9V7RM82ABACWCT","",-1
"2025-10-15 05:28:19",1760506099296,"mcp-with-express-jet.vercel.app/mcp","POST","",200,"wnzlz-1760506099275-2e1a5978bf1d","node","info","production","main","","lambda","/","mcp-with-express-jet.vercel.app","mcp-with-express-jet.vercel.app","dpl_224eBF9NQQaiJ6sANjEciu9DbaAg",37,"iad1",110,2048,"","prj_GFuSvzkGDMuwbRdbd61vYKz35q7m","","","01K7K5EDK0SD9V7RM82ABACWCT","Ew5vRVpLoqh8",1
"2025-10-15 05:28:19",1760506099293,"mcp-with-express-jet.vercel.app/mcp","POST","",-1,"7w752-1760506099278-ff7cbf204b0e","node","info","production","main","","lambda","/","mcp-with-express-jet.vercel.app","mcp-with-express-jet.vercel.app","dpl_224eBF9NQQaiJ6sANjEciu9DbaAg",-1,"iad1",-1,-1,"Session pre-stored: 701a8f46-ae92-4823-9116-fbf30c6de856","prj_GFuSvzkGDMuwbRdbd61vYKz35q7m","","","01K7K5BEYCRDDWKB6797YM1E7Y","",-1
"2025-10-15 05:28:19",1760506099293,"mcp-with-express-jet.vercel.app/mcp","POST","",-1,"7w752-1760506099278-ff7cbf204b0e","node","info","production","main","","lambda","/","mcp-with-express-jet.vercel.app","mcp-with-express-jet.vercel.app","dpl_224eBF9NQQaiJ6sANjEciu9DbaAg",-1,"iad1",-1,-1,"Initializing new session","prj_GFuSvzkGDMuwbRdbd61vYKz35q7m","","","01K7K5BEYCRDDWKB6797YM1E7Y","",-1
"2025-10-15 05:28:19",1760506099293,"mcp-with-express-jet.vercel.app/mcp","POST","",-1,"7w752-1760506099278-ff7cbf204b0e","node","info","production","main","","lambda","/","mcp-with-express-jet.vercel.app","mcp-with-express-jet.vercel.app","dpl_224eBF9NQQaiJ6sANjEciu9DbaAg",-1,"iad1",-1,-1,"Received MCP POST request: {
  method: 'initialize',
  params: {
    protocolVersion: '2025-06-18',
    capabilities: {},
    clientInfo: { name: 'Weather MCP Server (B)', version: '1.0.0' }
  },
  jsonrpc: '2.0',
  id: 0
}","prj_GFuSvzkGDMuwbRdbd61vYKz35q7m","","","01K7K5BEYCRDDWKB6797YM1E7Y","",-1
"2025-10-15 05:28:19",1760506099290,"mcp-with-express-jet.vercel.app/mcp","POST","",200,"7w752-1760506099278-ff7cbf204b0e","node","info","production","main","","lambda","/","mcp-with-express-jet.vercel.app","mcp-with-express-jet.vercel.app","dpl_224eBF9NQQaiJ6sANjEciu9DbaAg",3,"iad1",76,2048,"","prj_GFuSvzkGDMuwbRdbd61vYKz35q7m","","","01K7K5BEYCRDDWKB6797YM1E7Y","uKOrteThvw8w",2
"2025-10-15 05:26:43",1760506003137,"mcp-with-express-jet.vercel.app/mcp","POST","",-1,"dd4j5-1760506002389-9d5337695746","node","error","production","main","","lambda","/","mcp-with-express-jet.vercel.app","mcp-with-express-jet.vercel.app","dpl_224eBF9NQQaiJ6sANjEciu9DbaAg",-1,"iad1",-1,-1,"Invalid session or request","prj_GFuSvzkGDMuwbRdbd61vYKz35q7m","","","01K7K5BEYTYVTPMR99ZB33FXJ3","",-1
"2025-10-15 05:26:43",1760506003137,"mcp-with-express-jet.vercel.app/mcp","POST","",-1,"dd4j5-1760506002389-9d5337695746","node","info","production","main","","lambda","/","mcp-with-express-jet.vercel.app","mcp-with-express-jet.vercel.app","dpl_224eBF9NQQaiJ6sANjEciu9DbaAg",-1,"iad1",-1,-1,"Received MCP POST request: { method: 'tools/list', jsonrpc: '2.0', id: 1 }","prj_GFuSvzkGDMuwbRdbd61vYKz35q7m","","","01K7K5BEYTYVTPMR99ZB33FXJ3","",-1
"2025-10-15 05:26:43",1760506003122,"mcp-with-express-jet.vercel.app/mcp","POST","",-1,"dd4j5-1760506002389-9d5337695746","node","info","production","main","","lambda","/","mcp-with-express-jet.vercel.app","mcp-with-express-jet.vercel.app","dpl_224eBF9NQQaiJ6sANjEciu9DbaAg",-1,"iad1",-1,-1,"Legacy server listening...","prj_GFuSvzkGDMuwbRdbd61vYKz35q7m","","","01K7K5BEYTYVTPMR99ZB33FXJ3","",-1
"2025-10-15 05:26:42",1760506002400,"mcp-with-express-jet.vercel.app/mcp","GET","",-1,"k2sw7-1760506002370-23436f474395","node","info","production","main","","lambda","/","mcp-with-express-jet.vercel.app","mcp-with-express-jet.vercel.app","dpl_224eBF9NQQaiJ6sANjEciu9DbaAg",-1,"iad1",-1,-1,"Received MCP GET request","prj_GFuSvzkGDMuwbRdbd61vYKz35q7m","","","01K7K5BEYCRDDWKB6797YM1E7Y","",-1
